merchant_id,merchant_name,license_no
1001,FreshBite Group,LIC-1001-US
1002,UrbanTaste Holdings,LIC-1002-US
1003,Coastal Dining Co,LIC-1003-US
1004,Metro Meals Collective,LIC-1004-US
1005,Golden Spoon Partners,LIC-1005-US
1006,Blue Harbor Foods,LIC-1006-US
1007,Green Leaf Dining,LIC-1007-US
1008,Sunrise Kitchen Network,LIC-1008-US
1009,Heritage Flavor House,LIC-1009-US
1010,NorthStar Food Ventures,LIC-1010-US
1011,CityFork Enterprises,LIC-1011-US
1012,RiverStone Eats,LIC-1012-US
1013,Skyline Culinary Partners,LIC-1013-US
1014,Oak and Ember Dining,LIC-1014-US
1015,Silver Maple Hospitality,LIC-1015-US
1016,Cedar Grove Foods,LIC-1016-US
1017,Peak Plate Ventures,LIC-1017-US
1018,Atlantic Table Group,LIC-1018-US
1019,Grand Avenue Dining,LIC-1019-US
1020,Lakeview Food Partners,LIC-1020-US
1021,Maple Street Eats,LIC-1021-US
1022,Harborline Kitchens,LIC-1022-US
1023,Westfield Dining House,LIC-1023-US
1024,Prime Table Ventures,LIC-1024-US
1025,Summit Flavor Works,LIC-1025-US
1026,Brookstone Dining,LIC-1026-US
1027,Redwood Meal Partners,LIC-1027-US
1028,Union Square Foods,LIC-1028-US
1029,Liberty Kitchen Group,LIC-1029-US
1030,Blue Ridge Dining,LIC-1030-US
